metric,trainset,holdout,5-fold,model,selection,embed_selector
spec,0.4344262295081967,0.3442622950819672,0.22166666666666668,knn,assoc,none
ppv,0.5792682926829268,0.5294117647058824,0.5187070164977141,knn,assoc,none
npv,0.6022727272727273,0.5121951219512195,0.47727272727272724,knn,assoc,none
f1,0.5755102040816327,0.5058823529411764,0.4625858488189632,knn,assoc,none
bal-acc,0.5825977301387137,0.5182849936948297,0.5031410256410256,knn,assoc,none
acc,0.5515873015873016,0.49603174603174605,0.4519215686274509,knn,pred,none
auroc,0.5917087011349306,0.5067780580075663,0.5460320512820512,knn,pred,none
sens,0.5467213114754098,0.49312736443883987,0.44529487179487176,knn,pred,none
spec,0.39344262295081966,0.4016393442622951,0.21366666666666667,knn,pred,none
ppv,0.5515151515151515,0.5100671140939598,0.4716537516537517,knn,pred,none
npv,0.5517241379310345,0.47572815533980584,0.42779788838612365,knn,pred,none
f1,0.5381396480415214,0.490179211469534,0.4136282848051316,knn,pred,none
bal-acc,0.5467213114754098,0.49312736443883987,0.44529487179487176,knn,pred,none
acc,0.5793650793650794,0.5119047619047619,0.503921568627451,knn,embed_lgbm,lgbm
auroc,0.6063366960907944,0.5168348045397225,0.5705833333333332,knn,embed_lgbm,lgbm
sens,0.5746532156368221,0.5067465321563682,0.4957692307692308,knn,embed_lgbm,lgbm
spec,0.4262295081967213,0.3442622950819672,0.22999999999999998,knn,embed_lgbm,lgbm
ppv,0.573170731707317,0.5209580838323353,0.5135964912280702,knn,embed_lgbm,lgbm
npv,0.5909090909090909,0.49411764705882355,0.4665656565656565,knn,embed_lgbm,lgbm
f1,0.5673469387755102,0.4958278436539306,0.4596884134161135,knn,embed_lgbm,lgbm
bal-acc,0.5746532156368221,0.5067465321563682,0.4957692307692308,knn,embed_lgbm,lgbm
acc,1.0,0.4801587301587302,0.5274509803921569,knn,embed_linear,linear
auroc,1.0,0.5183795712484237,0.5862820512820512,knn,embed_linear,linear
sens,1.0,0.47875157629255993,0.5270769230769231,knn,embed_linear,linear
spec,1.0,0.4344262295081967,0.508,knn,embed_linear,linear
ppv,1.0,0.49635036496350365,0.5476506252368321,knn,embed_linear,linear
npv,1.0,0.4608695652173913,0.506556948798328,knn,embed_linear,linear
f1,1.0,0.47831033992319727,0.525423938284466,knn,embed_linear,linear
bal-acc,1.0,0.47875157629255993,0.5270769230769231,knn,embed_linear,linear
acc,0.5833333333333334,0.5436507936507936,0.4365490196078431,knn,wrap,none
auroc,0.6926544766708701,0.5641551071878941,0.5448974358974359,knn,wrap,none
sens,0.5734552332912989,0.532219419924338,0.4276538461538461,knn,wrap,none
spec,0.26229508196721313,0.1721311475409836,0.163,knn,wrap,none
ppv,0.5609756097560976,0.5345622119815668,0.4684116784116784,knn,wrap,none
npv,0.6808510638297872,0.6,0.31224192474192475,knn,wrap,none
f1,0.5326326945155877,0.4680519099102406,0.38476574126314234,knn,wrap,none
bal-acc,0.5734552332912989,0.532219419924338,0.4276538461538461,knn,wrap,none
acc,0.9007936507936508,0.7738095238095238,0.7460392156862745,lgbm,none,none
auroc,0.9727616645649433,0.8662042875157628,0.8310512820512821,lgbm,none,none
sens,0.8990542244640606,0.7719419924337958,0.7436794871794872,lgbm,none,none
spec,0.8442622950819673,0.7131147540983607,0.6796666666666666,lgbm,none,none
ppv,0.8671328671328671,0.7552447552447552,0.7298123841305154,lgbm,none,none
npv,0.944954128440367,0.7981651376146789,0.7719774961880225,lgbm,none,none
f1,0.9000999000999002,0.7722277722277722,0.743536669468457,lgbm,none,none
bal-acc,0.8990542244640606,0.7719419924337958,0.7436794871794872,lgbm,none,none
acc,1.0,0.7698412698412699,0.7181176470588235,lgbm,assoc,none
auroc,1.0,0.8612862547288777,0.7763974358974359,lgbm,assoc,none
sens,1.0,0.7688524590163934,0.716448717948718,lgbm,assoc,none
spec,1.0,0.7377049180327869,0.6636666666666667,lgbm,assoc,none
ppv,1.0,0.7647058823529411,0.709350981075119,lgbm,assoc,none
npv,1.0,0.7758620689655172,0.7419467787114845,lgbm,assoc,none
f1,1.0,0.7691287041132242,0.7153075714805516,lgbm,assoc,none
bal-acc,1.0,0.7688524590163934,0.716448717948718,lgbm,assoc,none
acc,0.9484126984126984,0.75,0.7181960784313727,lgbm,pred,none
auroc,0.9935056746532156,0.8561790668348046,0.8135000000000001,lgbm,pred,none
sens,0.9472257250945776,0.7476040353089533,0.7158076923076923,lgbm,pred,none
spec,0.9098360655737705,0.6721311475409836,0.647,lgbm,pred,none
ppv,0.920863309352518,0.7278911564625851,0.7048291826309068,lgbm,pred,none
npv,0.9823008849557522,0.780952380952381,0.7458316193610312,lgbm,pred,none
f1,0.9481768567586807,0.7475150686238649,0.7144832865675008,lgbm,pred,none
bal-acc,0.9472257250945776,0.7476040353089533,0.7158076923076923,lgbm,pred,none
acc,0.7261904761904762,0.6825396825396826,0.6626666666666667,lgbm,embed_lgbm,lgbm
auroc,0.8224148802017655,0.7024905422446406,0.6426666666666667,lgbm,embed_lgbm,lgbm
sens,0.732093316519546,0.6887767969735183,0.6673461538461538,lgbm,embed_lgbm,lgbm
spec,0.9180327868852459,0.8852459016393442,0.827,lgbm,embed_lgbm,lgbm
ppv,0.8765432098765432,0.8205128205128205,0.7864769389537191,lgbm,embed_lgbm,lgbm
npv,0.6549707602339181,0.6206896551724138,0.6113335996537834,lgbm,embed_lgbm,lgbm
f1,0.7187454507222231,0.6725571725571726,0.6524317058781015,lgbm,embed_lgbm,lgbm
bal-acc,0.732093316519546,0.6887767969735183,0.6673461538461538,lgbm,embed_lgbm,lgbm
acc,1.0,0.7222222222222222,0.7024313725490196,lgbm,embed_linear,linear
auroc,1.0,0.8419924337957125,0.7877051282051283,lgbm,embed_linear,linear
sens,1.0,0.721437578814628,0.7015384615384616,lgbm,embed_linear,linear
spec,1.0,0.6967213114754098,0.6799999999999999,lgbm,embed_linear,linear
ppv,1.0,0.7238805970149254,0.7067272517587361,lgbm,embed_linear,linear
npv,1.0,0.7203389830508474,0.7024607244607244,lgbm,embed_linear,linear
f1,1.0,0.7215909090909092,0.7010335779999646,lgbm,embed_linear,linear
bal-acc,1.0,0.721437578814628,0.7015384615384616,lgbm,embed_linear,linear
acc,0.7857142857142857,0.7579365079365079,0.7577254901960785,lgbm,wrap,none
auroc,0.7786885245901639,0.75,0.7467435897435898,lgbm,wrap,none
sens,0.7786885245901639,0.75,0.7495,lgbm,wrap,none
spec,0.5573770491803278,0.5,0.499,lgbm,wrap,none
ppv,0.7065217391304348,0.680628272251309,0.6820802005012531,lgbm,wrap,none
npv,1.0,1.0,1.0,lgbm,wrap,none
f1,0.7719074756956085,0.7383177570093458,0.736544764715467,lgbm,wrap,none
bal-acc,0.7786885245901639,0.75,0.7495,lgbm,wrap,none
acc,0.8412698412698413,0.7658730158730159,0.7181176470588235,lr,none,none
auroc,0.947982345523329,0.8669609079445144,0.8394743589743591,lr,none,none
sens,0.8398486759142496,0.764249684741488,0.7153205128205128,lr,none,none
spec,0.7950819672131147,0.7131147540983607,0.6383333333333333,lr,none,none
ppv,0.8214285714285714,0.75177304964539,0.7025783410138249,lr,none,none
npv,0.8660714285714286,0.7837837837837838,0.7576296296296297,lr,none,none
f1,0.8404558404558404,0.7645344693790286,0.7132377326488353,lr,none,none
bal-acc,0.8398486759142496,0.764249684741488,0.7153205128205128,lr,none,none
acc,0.8253968253968254,0.7579365079365079,0.7421960784313727,lr,assoc,none
auroc,0.9386506935687264,0.8671500630517024,0.844474358974359,lr,assoc,none
sens,0.8234552332912988,0.755548549810845,0.7393717948717949,lr,assoc,none
spec,0.7622950819672131,0.680327868852459,0.6556666666666666,lr,assoc,none
ppv,0.7986111111111112,0.7346938775510204,0.718541110024981,lr,assoc,none
npv,0.8611111111111112,0.7904761904761904,0.7889411764705883,lr,assoc,none
f1,0.8240558552840368,0.7555304632707263,0.7383212812788644,lr,assoc,none
bal-acc,0.8234552332912988,0.755548549810845,0.7393717948717949,lr,assoc,none
acc,0.8174603174603174,0.7738095238095238,0.7142745098039216,lr,pred,none
auroc,0.9353720050441362,0.8589533417402271,0.8183974358974359,lr,pred,none
sens,0.8155107187894073,0.7714375788146279,0.710525641025641,lr,pred,none
spec,0.7540983606557377,0.6967213114754098,0.6056666666666667,lr,pred,none
ppv,0.7916666666666666,0.7482993197278912,0.6933058058058058,lr,pred,none
npv,0.8518518518518519,0.8095238095238095,0.7568043068043068,lr,pred,none
f1,0.8160583941605839,0.7715612525644492,0.7068765325593785,lr,pred,none
bal-acc,0.8155107187894073,0.7714375788146279,0.710525641025641,lr,pred,none
acc,0.7261904761904762,0.6825396825396826,0.6309803921568629,lr,embed_lgbm,lgbm
auroc,0.7620428751576293,0.694577553593947,0.6188717948717949,lr,embed_lgbm,lgbm
sens,0.732093316519546,0.6887767969735183,0.6346794871794871,lr,embed_lgbm,lgbm
spec,0.9180327868852459,0.8852459016393442,0.7616666666666666,lr,embed_lgbm,lgbm
ppv,0.8765432098765432,0.8205128205128205,0.7206043956043956,lr,embed_lgbm,lgbm
npv,0.6549707602339181,0.6206896551724138,0.5917664222927381,lr,embed_lgbm,lgbm
f1,0.7187454507222231,0.6725571725571726,0.6231048641317215,lr,embed_lgbm,lgbm
bal-acc,0.732093316519546,0.6887767969735183,0.6346794871794871,lr,embed_lgbm,lgbm
acc,0.8412698412698413,0.7619047619047619,0.7181176470588235,lr,embed_linear,linear
auroc,0.9479192938209331,0.8668978562421186,0.8391923076923076,lr,embed_linear,linear
sens,0.8398486759142496,0.7601513240857503,0.7153205128205128,lr,embed_linear,linear
spec,0.7950819672131147,0.7049180327868853,0.6383333333333333,lr,embed_linear,linear
ppv,0.8214285714285714,0.7464788732394366,0.7025783410138249,lr,embed_linear,linear
npv,0.8660714285714286,0.7818181818181819,0.7576296296296297,lr,embed_linear,linear
f1,0.8404558404558404,0.760395537525355,0.7132377326488353,lr,embed_linear,linear
bal-acc,0.8398486759142496,0.7601513240857503,0.7153205128205128,lr,embed_linear,linear
acc,0.7857142857142857,0.7579365079365079,0.7577254901960785,lr,wrap,none
auroc,0.7719419924337956,0.7723203026481715,0.8054487179487179,lr,wrap,none
sens,0.7786885245901639,0.75,0.7495,lr,wrap,none
spec,0.5573770491803278,0.5,0.499,lr,wrap,none
ppv,0.7065217391304348,0.680628272251309,0.6820802005012531,lr,wrap,none
npv,1.0,1.0,1.0,lr,wrap,none
f1,0.7719074756956085,0.7383177570093458,0.736544764715467,lr,wrap,none
bal-acc,0.7786885245901639,0.75,0.7495,lr,wrap,none
acc,0.8452380952380952,0.7619047619047619,0.7221176470588236,rf,none,none
auroc,0.955359394703657,0.876860025220681,0.8308076923076924,rf,none,none
sens,0.841172761664565,0.7566204287515763,0.7174230769230769,rf,none,none
spec,0.7131147540983607,0.5901639344262295,0.5810000000000001,rf,none,none
ppv,0.782608695652174,0.7058823529411765,0.6866056610732066,rf,none,none
npv,0.9560439560439561,0.8780487804878049,0.7889107796228539,rf,none,none
f1,0.8414403949470016,0.7529411764705882,0.7139412796202602,rf,none,none
bal-acc,0.841172761664565,0.7566204287515763,0.7174230769230769,rf,none,none
acc,0.8571428571428571,0.7698412698412699,0.7025098039215687,rf,assoc,none
auroc,0.9418663303909205,0.8653846153846153,0.825551282051282,rf,assoc,none
sens,0.8539722572509458,0.7663303909205548,0.6993076923076924,rf,assoc,none
spec,0.7540983606557377,0.6557377049180327,0.614,rf,assoc,none
ppv,0.8051948051948052,0.7307692307692307,0.6868742368742368,rf,assoc,none
npv,0.9387755102040817,0.8333333333333334,0.7542110177404295,rf,assoc,none
f1,0.8548015364916772,0.7655738756656187,0.6955678017332794,rf,assoc,none
bal-acc,0.8539722572509458,0.7663303909205548,0.6993076923076924,rf,assoc,none
acc,0.876984126984127,0.753968253968254,0.6942745098039216,rf,pred,none
auroc,0.9606557377049181,0.8627364438839847,0.7953846153846154,rf,pred,none
sens,0.8759773013871375,0.751702395964691,0.6889102564102564,rf,pred,none
spec,0.8442622950819673,0.680327868852459,0.5316666666666667,rf,pred,none
ppv,0.8613138686131386,0.7328767123287672,0.6616267383001663,rf,pred,none
npv,0.8956521739130435,0.7830188679245284,0.7705635540929658,rf,pred,none
f1,0.8765467216612146,0.7517162471395882,0.6817269549184444,rf,pred,none
bal-acc,0.8759773013871375,0.751702395964691,0.6889102564102564,rf,pred,none
acc,0.7261904761904762,0.6825396825396826,0.6826666666666666,rf,embed_lgbm,lgbm
auroc,0.7935056746532156,0.7050126103404792,0.6252179487179488,rf,embed_lgbm,lgbm
sens,0.732093316519546,0.6887767969735183,0.6888205128205127,rf,embed_lgbm,lgbm
spec,0.9180327868852459,0.8852459016393442,0.8853333333333333,rf,embed_lgbm,lgbm
ppv,0.8765432098765432,0.8205128205128205,0.8281058982297372,rf,embed_lgbm,lgbm
