,metric,trainset,holdout,5-fold,model,selection,embed_selector
109,npv,0.7113821138211383,0.52,0.48062661606075147,knn,assoc,none
110,f1,0.7218653828452971,0.5358811855835094,0.4959757958936592,knn,assoc,none
111,bal-acc,0.7219500088069046,0.5360369017874302,0.4989778603749192,knn,assoc,none
112,acc,0.614,0.548,0.5479999999999999,knn,pred,none
113,auroc,0.6882195641382844,0.5962825933756165,0.5461272970726752,knn,pred,none
114,sens,0.6117356007109573,0.5454865782561342,0.5411168313479238,knn,pred,none
115,spec,0.5308641975308642,0.4669421487603306,0.32227891156462585,knn,pred,none
116,ppv,0.6095890410958904,0.5551724137931034,0.544372727593632,knn,pred,none
117,npv,0.6201923076923077,0.5380952380952381,0.5592692939244663,knn,pred,none
118,f1,0.6102569073380748,0.5437956204379562,0.5211891103395576,knn,pred,none
119,bal-acc,0.6117356007109573,0.5454865782561342,0.5411168313479238,knn,pred,none
120,acc,0.596,0.554,0.528,knn,embed_lgbm,lgbm
121,auroc,0.6141695088949738,0.5453504388493818,0.5277176255117432,knn,embed_lgbm,lgbm
122,sens,0.5933291700693344,0.5506598757127299,0.5205811170622096,knn,embed_lgbm,lgbm
123,spec,0.49794238683127573,0.4462809917355372,0.28120748299319726,knn,embed_lgbm,lgbm
124,ppv,0.5919732441471572,0.5577557755775577,0.5302836365324063,knn,embed_lgbm,lgbm
125,npv,0.6019900497512438,0.5482233502538071,0.5273852609755247,knn,embed_lgbm,lgbm
126,f1,0.5908678462635297,0.5472614392619752,0.4919820171134436,knn,embed_lgbm,lgbm
127,bal-acc,0.5933291700693344,0.5506598757127299,0.5205811170622096,knn,embed_lgbm,lgbm
128,acc,0.594,0.574,0.504,knn,embed_linear,linear
129,auroc,0.6311828473523242,0.5731228778268947,0.5286719976452119,knn,embed_linear,linear
130,sens,0.5927286993002514,0.5719616887692998,0.49984089789762065,knn,embed_linear,linear
131,spec,0.5473251028806584,0.5082644628099173,0.37185374149659867,knn,embed_linear,linear
132,ppv,0.5985401459854015,0.5795053003533569,0.5129014020805066,knn,embed_linear,linear
133,npv,0.588495575221239,0.5668202764976958,0.4923022713720388,knn,embed_linear,linear
134,f1,0.5924333136577002,0.571116185229483,0.48896000935488126,knn,embed_linear,linear
135,bal-acc,0.5927286993002514,0.5719616887692998,0.49984089789762065,knn,embed_linear,linear
136,acc,1.0,0.548,0.5200000000000001,knn,wrap,none
137,auroc,1.0,0.5218063296815939,0.5387275102348632,knn,wrap,none
138,sens,1.0,0.5466397591133321,0.5179352510234863,knn,wrap,none
139,spec,1.0,0.5041322314049587,0.44642857142857145,knn,wrap,none
140,ppv,1.0,0.5588235294117647,0.533233469286862,knn,wrap,none
141,npv,1.0,0.5350877192982456,0.5025834150593875,knn,wrap,none
142,f1,1.0,0.546366920915295,0.5150881433560721,knn,wrap,none
143,bal-acc,1.0,0.5466397591133321,0.5179352510234863,knn,wrap,none
144,acc,0.89,0.764,0.74,lgbm,none,none
145,auroc,0.9545403596419593,0.8734704337241335,0.862731631113984,lgbm,none,none
146,sens,0.8888488575042834,0.7629893010442693,0.7392383876627574,lgbm,none,none
147,spec,0.8477366255144033,0.731404958677686,0.6950680272108845,lgbm,none,none
148,ppv,0.8659420289855072,0.7592592592592593,0.739974358974359,lgbm,none,none
149,npv,0.9196428571428571,0.7695652173913043,0.758600812231247,lgbm,none,none
150,f1,0.8895187436473277,0.7632575757575757,0.7365097266902128,lgbm,none,none
151,bal-acc,0.8888488575042834,0.7629893010442693,0.7392383876627574,lgbm,none,none
152,acc,0.894,0.766,0.738,lgbm,assoc,none
153,auroc,0.9663736369313541,0.8697386123390352,0.862254517191492,lgbm,assoc,none
154,sens,0.893188259595523,0.7653116791594592,0.7373247375873426,lgbm,assoc,none
155,spec,0.8641975308641975,0.743801652892562,0.699234693877551,lgbm,assoc,none
156,ppv,0.8777777777777778,0.7660377358490567,0.7380462184873949,lgbm,assoc,none
157,npv,0.9130434782608695,0.7659574468085106,0.7522174254317112,lgbm,assoc,none
158,f1,0.8936900000401169,0.7655038060536095,0.7351664102117591,lgbm,assoc,none
159,bal-acc,0.893188259595523,0.7653116791594592,0.7373247375873426,lgbm,assoc,none
