metric,trainset,holdout,5-fold,model,selection,embed_selector
sens,1.0,1.0,1.0,lgbm,embed_linear,linear
spec,1.0,1.0,1.0,lgbm,embed_linear,linear
ppv,1.0,1.0,1.0,lgbm,embed_linear,linear
npv,1.0,1.0,1.0,lgbm,embed_linear,linear
f1,1.0,1.0,1.0,lgbm,embed_linear,linear
bal-acc,1.0,1.0,1.0,lgbm,embed_linear,linear
acc,1.0,1.0,0.5125641025641026,lgbm,wrap,none
auroc,1.0,1.0,0.5,lgbm,wrap,none
sens,1.0,1.0,0.5,lgbm,wrap,none
spec,1.0,1.0,0.0,lgbm,wrap,none
ppv,1.0,1.0,0.5125641025641026,lgbm,wrap,none
npv,1.0,1.0,,lgbm,wrap,none
f1,1.0,1.0,0.3388348615356117,lgbm,wrap,none
bal-acc,1.0,1.0,0.5,lgbm,wrap,none
acc,1.0,1.0,1.0,rf,none,none
auroc,1.0,1.0,1.0,rf,none,none
sens,1.0,1.0,1.0,rf,none,none
spec,1.0,1.0,1.0,rf,none,none
ppv,1.0,1.0,1.0,rf,none,none
npv,1.0,1.0,1.0,rf,none,none
f1,1.0,1.0,1.0,rf,none,none
bal-acc,1.0,1.0,1.0,rf,none,none
acc,1.0,1.0,0.5125641025641026,rf,assoc,none
auroc,1.0,1.0,0.5,rf,assoc,none
sens,1.0,1.0,0.5,rf,assoc,none
spec,1.0,1.0,0.0,rf,assoc,none
ppv,1.0,1.0,0.5125641025641026,rf,assoc,none
npv,1.0,1.0,,rf,assoc,none
f1,1.0,1.0,0.3388348615356117,rf,assoc,none
bal-acc,1.0,1.0,0.5,rf,assoc,none
acc,1.0,1.0,0.5125641025641026,rf,pred,none
auroc,1.0,1.0,0.5,rf,pred,none
sens,1.0,1.0,0.5,rf,pred,none
spec,1.0,1.0,0.0,rf,pred,none
ppv,1.0,1.0,0.5125641025641026,rf,pred,none
npv,1.0,1.0,,rf,pred,none
f1,1.0,1.0,0.3388348615356117,rf,pred,none
bal-acc,1.0,1.0,0.5,rf,pred,none
acc,1.0,1.0,0.5125641025641026,rf,embed_lgbm,lgbm
auroc,1.0,1.0,0.5,rf,embed_lgbm,lgbm
sens,1.0,1.0,0.5,rf,embed_lgbm,lgbm
spec,1.0,1.0,0.0,rf,embed_lgbm,lgbm
ppv,1.0,1.0,0.5125641025641026,rf,embed_lgbm,lgbm
npv,1.0,1.0,,rf,embed_lgbm,lgbm
f1,1.0,1.0,0.3388348615356117,rf,embed_lgbm,lgbm
bal-acc,1.0,1.0,0.5,rf,embed_lgbm,lgbm
acc,1.0,1.0,1.0,rf,embed_linear,linear
auroc,1.0,1.0,1.0,rf,embed_linear,linear
sens,1.0,1.0,1.0,rf,embed_linear,linear
spec,1.0,1.0,1.0,rf,embed_linear,linear
ppv,1.0,1.0,1.0,rf,embed_linear,linear
npv,1.0,1.0,1.0,rf,embed_linear,linear
f1,1.0,1.0,1.0,rf,embed_linear,linear
bal-acc,1.0,1.0,1.0,rf,embed_linear,linear
acc,1.0,1.0,0.5125641025641026,rf,wrap,none
auroc,1.0,1.0,0.5,rf,wrap,none
sens,1.0,1.0,0.5,rf,wrap,none
spec,1.0,1.0,0.0,rf,wrap,none
ppv,1.0,1.0,0.5125641025641026,rf,wrap,none
npv,1.0,1.0,,rf,wrap,none
f1,1.0,1.0,0.3388348615356117,rf,wrap,none
bal-acc,1.0,1.0,0.5,rf,wrap,none
acc,1.0,1.0,0.9698717948717949,sgd,none,none
auroc,1.0,1.0,0.9794486215538847,sgd,none,none
sens,1.0,1.0,0.96968671679198,sgd,none,none
spec,1.0,1.0,0.958421052631579,sgd,none,none
ppv,1.0,1.0,0.9627705627705628,sgd,none,none
npv,1.0,1.0,0.9788888888888889,sgd,none,none
f1,1.0,1.0,0.9697671667042058,sgd,none,none
bal-acc,1.0,1.0,0.96968671679198,sgd,none,none
acc,1.0,1.0,0.9848717948717949,sgd,assoc,none
auroc,1.0,1.0,0.9847368421052632,sgd,assoc,none
sens,1.0,1.0,0.9847368421052632,sgd,assoc,none
spec,1.0,1.0,0.9894736842105264,sgd,assoc,none
ppv,1.0,1.0,0.9904761904761905,sgd,assoc,none
npv,1.0,1.0,0.9818181818181818,sgd,assoc,none
f1,1.0,1.0,0.9848332102504118,sgd,assoc,none
bal-acc,1.0,1.0,0.9847368421052632,sgd,assoc,none
acc,1.0,1.0,0.9949999999999999,sgd,pred,none
auroc,1.0,1.0,0.9952380952380953,sgd,pred,none
sens,1.0,1.0,0.9952380952380953,sgd,pred,none
spec,1.0,1.0,1.0,sgd,pred,none
ppv,1.0,1.0,1.0,sgd,pred,none
npv,1.0,1.0,0.99,sgd,pred,none
f1,1.0,1.0,0.9949968730456537,sgd,pred,none
bal-acc,1.0,1.0,0.9952380952380953,sgd,pred,none
acc,1.0,1.0,0.985,sgd,embed_lgbm,lgbm
auroc,1.0,1.0,0.9844736842105263,sgd,embed_lgbm,lgbm
sens,1.0,1.0,0.9844736842105263,sgd,embed_lgbm,lgbm
spec,1.0,1.0,0.9689473684210526,sgd,embed_lgbm,lgbm
ppv,1.0,1.0,0.9730848861283643,sgd,embed_lgbm,lgbm
npv,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
f1,1.0,1.0,0.9848958629446434,sgd,embed_lgbm,lgbm
bal-acc,1.0,1.0,0.9844736842105263,sgd,embed_lgbm,lgbm
acc,1.0,1.0,0.9848717948717949,sgd,embed_linear,linear
auroc,1.0,1.0,0.9984711779448622,sgd,embed_linear,linear
sens,1.0,1.0,0.9842105263157895,sgd,embed_linear,linear
spec,1.0,1.0,0.968421052631579,sgd,embed_linear,linear
ppv,1.0,1.0,0.9730848861283643,sgd,embed_linear,linear
npv,1.0,1.0,1.0,sgd,embed_linear,linear
f1,1.0,1.0,0.9847572628060434,sgd,embed_linear,linear
bal-acc,1.0,1.0,0.9842105263157895,sgd,embed_linear,linear
acc,1.0,1.0,1.0,sgd,wrap,none
auroc,1.0,1.0,1.0,sgd,wrap,none
sens,1.0,1.0,1.0,sgd,wrap,none
spec,1.0,1.0,1.0,sgd,wrap,none
ppv,1.0,1.0,1.0,sgd,wrap,none
npv,1.0,1.0,1.0,sgd,wrap,none
f1,1.0,1.0,1.0,sgd,wrap,none
bal-acc,1.0,1.0,1.0,sgd,wrap,none
