,metric,trainset,holdout,5-fold,model,selection,embed_selector
175,bal-acc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
176,acc,1.0,1.0,1.0,lr,embed_linear,linear
177,auroc,1.0,1.0,1.0,lr,embed_linear,linear
178,sens,1.0,1.0,1.0,lr,embed_linear,linear
179,spec,1.0,1.0,1.0,lr,embed_linear,linear
180,ppv,1.0,1.0,1.0,lr,embed_linear,linear
181,npv,1.0,1.0,1.0,lr,embed_linear,linear
182,f1,1.0,1.0,1.0,lr,embed_linear,linear
183,bal-acc,1.0,1.0,1.0,lr,embed_linear,linear
184,acc,1.0,1.0,0.7048780487804878,lr,wrap,none
185,auroc,1.0,1.0,1.0,lr,wrap,none
186,sens,1.0,1.0,0.7,lr,wrap,none
187,spec,1.0,1.0,0.4,lr,wrap,none
188,ppv,1.0,1.0,0.7048780487804878,lr,wrap,none
189,npv,1.0,1.0,1.0,lr,wrap,none
190,f1,1.0,1.0,0.6021505376344086,lr,wrap,none
191,bal-acc,1.0,1.0,0.7,lr,wrap,none
192,acc,1.0,1.0,1.0,rf,none,none
193,auroc,1.0,1.0,1.0,rf,none,none
194,sens,1.0,1.0,1.0,rf,none,none
195,spec,1.0,1.0,1.0,rf,none,none
196,ppv,1.0,1.0,1.0,rf,none,none
197,npv,1.0,1.0,1.0,rf,none,none
198,f1,1.0,1.0,1.0,rf,none,none
199,bal-acc,1.0,1.0,1.0,rf,none,none
200,acc,1.0,1.0,0.5148780487804878,rf,assoc,none
201,auroc,1.0,1.0,0.5,rf,assoc,none
202,sens,1.0,1.0,0.5,rf,assoc,none
203,spec,1.0,1.0,0.0,rf,assoc,none
204,ppv,1.0,1.0,0.5148780487804878,rf,assoc,none
205,npv,1.0,1.0,,rf,assoc,none
206,f1,1.0,1.0,0.33985545566719544,rf,assoc,none
207,bal-acc,1.0,1.0,0.5,rf,assoc,none
208,acc,1.0,1.0,0.5148780487804878,rf,pred,none
209,auroc,1.0,1.0,0.5,rf,pred,none
210,sens,1.0,1.0,0.5,rf,pred,none
211,spec,1.0,1.0,0.0,rf,pred,none
212,ppv,1.0,1.0,0.5148780487804878,rf,pred,none
213,npv,1.0,1.0,,rf,pred,none
214,f1,1.0,1.0,0.33985545566719544,rf,pred,none
215,bal-acc,1.0,1.0,0.5,rf,pred,none
216,acc,1.0,1.0,0.5148780487804878,rf,embed_lgbm,lgbm
217,auroc,1.0,1.0,0.5,rf,embed_lgbm,lgbm
218,sens,1.0,1.0,0.5,rf,embed_lgbm,lgbm
219,spec,1.0,1.0,0.0,rf,embed_lgbm,lgbm
220,ppv,1.0,1.0,0.5148780487804878,rf,embed_lgbm,lgbm
221,npv,1.0,1.0,,rf,embed_lgbm,lgbm
222,f1,1.0,1.0,0.33985545566719544,rf,embed_lgbm,lgbm
223,bal-acc,1.0,1.0,0.5,rf,embed_lgbm,lgbm
224,acc,1.0,1.0,1.0,rf,embed_linear,linear
225,auroc,1.0,1.0,1.0,rf,embed_linear,linear
226,sens,1.0,1.0,1.0,rf,embed_linear,linear
227,spec,1.0,1.0,1.0,rf,embed_linear,linear
228,ppv,1.0,1.0,1.0,rf,embed_linear,linear
229,npv,1.0,1.0,1.0,rf,embed_linear,linear
230,f1,1.0,1.0,1.0,rf,embed_linear,linear
231,bal-acc,1.0,1.0,1.0,rf,embed_linear,linear
232,acc,1.0,1.0,0.5148780487804878,rf,wrap,none
233,auroc,1.0,1.0,0.5,rf,wrap,none
234,sens,1.0,1.0,0.5,rf,wrap,none
235,spec,1.0,1.0,0.0,rf,wrap,none
236,ppv,1.0,1.0,0.5148780487804878,rf,wrap,none
237,npv,1.0,1.0,,rf,wrap,none
238,f1,1.0,1.0,0.33985545566719544,rf,wrap,none
239,bal-acc,1.0,1.0,0.5,rf,wrap,none
240,acc,1.0,1.0,0.9951219512195122,sgd,none,none
241,auroc,1.0,1.0,1.0,sgd,none,none
242,sens,1.0,1.0,0.9949999999999999,sgd,none,none
243,spec,1.0,1.0,0.99,sgd,none,none
244,ppv,1.0,1.0,0.990909090909091,sgd,none,none
245,npv,1.0,1.0,1.0,sgd,none,none
246,f1,1.0,1.0,0.9951103160405486,sgd,none,none
247,bal-acc,1.0,1.0,0.9949999999999999,sgd,none,none
248,acc,1.0,1.0,0.9951219512195122,sgd,assoc,none
249,auroc,1.0,1.0,1.0,sgd,assoc,none
250,sens,1.0,1.0,0.9949999999999999,sgd,assoc,none
251,spec,1.0,1.0,0.99,sgd,assoc,none
252,ppv,1.0,1.0,0.990909090909091,sgd,assoc,none
253,npv,1.0,1.0,1.0,sgd,assoc,none
254,f1,1.0,1.0,0.9951103160405486,sgd,assoc,none
255,bal-acc,1.0,1.0,0.9949999999999999,sgd,assoc,none
256,acc,0.9701986754966887,0.995049504950495,0.9951219512195122,sgd,pred,none
257,auroc,0.9940288022479804,0.9983320251177394,0.9995238095238095,sgd,pred,none
258,sens,0.9691780821917808,0.9948979591836735,0.9949999999999999,sgd,pred,none
259,spec,0.9383561643835616,0.9897959183673469,0.99,sgd,pred,none
260,ppv,0.9454545454545454,0.9904761904761905,0.990909090909091,sgd,pred,none
261,npv,1.0,1.0,1.0,sgd,pred,none
262,f1,0.9700802483405435,0.9950435529382897,0.9951103160405486,sgd,pred,none
263,bal-acc,0.9691780821917808,0.9948979591836735,0.9949999999999999,sgd,pred,none
264,acc,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
265,auroc,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
266,sens,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
