metric,trainset,holdout,5-fold,model,selection,embed_selector
auroc,1.0,0.9958677685950413,0.9876700680272108,knn,pred,none
sens,0.9794238683127572,0.9772727272727273,0.9732993197278912,knn,pred,none
spec,0.9588477366255144,0.9545454545454546,0.9465986394557824,knn,pred,none
ppv,0.9625468164794008,0.9591078066914498,0.9530214424951267,knn,pred,none
npv,1.0,1.0,1.0,knn,pred,none
f1,0.9799538135865034,0.9779356603856846,0.9738787636654281,knn,pred,none
bal-acc,0.9794238683127572,0.9772727272727273,0.9732993197278912,knn,pred,none
acc,0.93,0.94,0.9480000000000001,knn,embed_lgbm,lgbm
auroc,0.9885910553874238,0.983967582804792,0.9772551809185213,knn,embed_lgbm,lgbm
sens,0.9287681542329186,0.938913447370107,0.9463860544217686,knn,embed_lgbm,lgbm
spec,0.8847736625514403,0.9049586776859504,0.8927721088435374,knn,embed_lgbm,lgbm
ppv,0.8992805755395683,0.916058394160584,0.9086941491660184,knn,embed_lgbm,lgbm
npv,0.9684684684684685,0.9690265486725663,1.0,knn,embed_lgbm,lgbm
f1,0.9296553110240177,0.9397532292269135,0.9476236582339496,knn,embed_lgbm,lgbm
bal-acc,0.9287681542329186,0.938913447370107,0.9463860544217686,knn,embed_lgbm,lgbm
acc,0.75,0.754,0.672,knn,embed_linear,linear
auroc,0.9100734976221357,0.8870203087962074,0.8719711923230831,knn,embed_linear,linear
sens,0.743022529663256,0.7461240310077519,0.6621958398744112,knn,embed_linear,linear
spec,0.49382716049382713,0.5,0.3436224489795919,knn,embed_linear,linear
ppv,0.6746031746031746,0.6790450928381963,0.6155420150059916,knn,embed_linear,linear
npv,0.9836065573770492,0.983739837398374,0.9508626639061422,knn,embed_linear,linear
f1,0.7303419264372775,0.7346564556142812,0.6270184430153268,knn,embed_linear,linear
bal-acc,0.743022529663256,0.7461240310077519,0.6621958398744112,knn,embed_linear,linear
acc,0.958,0.914,0.932,knn,wrap,none
auroc,0.9996397175385502,0.989885642898328,0.9901095053405978,knn,wrap,none
sens,0.9567901234567902,0.9111570247933884,0.9296768707482993,knn,wrap,none
spec,0.9135802469135802,0.8223140495867769,0.8593537414965986,knn,wrap,none
ppv,0.9244604316546763,0.8571428571428571,0.8851817516445774,knn,wrap,none
npv,1.0,1.0,1.0,knn,wrap,none
f1,0.9577931866144106,0.9127856270713414,0.9311002123428743,knn,wrap,none
bal-acc,0.9567901234567902,0.9111570247933884,0.9296768707482993,knn,wrap,none
acc,1.0,1.0,1.0,lgbm,none,none
auroc,1.0,1.0,1.0,lgbm,none,none
sens,1.0,1.0,1.0,lgbm,none,none
spec,1.0,1.0,1.0,lgbm,none,none
ppv,1.0,1.0,1.0,lgbm,none,none
npv,1.0,1.0,1.0,lgbm,none,none
f1,1.0,1.0,1.0,lgbm,none,none
bal-acc,1.0,1.0,1.0,lgbm,none,none
acc,1.0,1.0,1.0,lgbm,assoc,none
auroc,1.0,1.0,1.0,lgbm,assoc,none
sens,1.0,1.0,1.0,lgbm,assoc,none
spec,1.0,1.0,1.0,lgbm,assoc,none
ppv,1.0,1.0,1.0,lgbm,assoc,none
npv,1.0,1.0,1.0,lgbm,assoc,none
f1,1.0,1.0,1.0,lgbm,assoc,none
bal-acc,1.0,1.0,1.0,lgbm,assoc,none
acc,1.0,1.0,1.0,lgbm,pred,none
auroc,1.0,1.0,1.0,lgbm,pred,none
sens,1.0,1.0,1.0,lgbm,pred,none
spec,1.0,1.0,1.0,lgbm,pred,none
ppv,1.0,1.0,1.0,lgbm,pred,none
npv,1.0,1.0,1.0,lgbm,pred,none
f1,1.0,1.0,1.0,lgbm,pred,none
bal-acc,1.0,1.0,1.0,lgbm,pred,none
