,metric,trainset,holdout,5-fold,model,selection,embed_selector
38,f1,0.3404255319148936,0.33866666666666667,0.33864390706495967,dummy,embed_linear,linear
39,bal-acc,0.5,0.5,0.5,dummy,embed_linear,linear
40,acc,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,wrap,none
41,auroc,0.5,0.5,0.5,dummy,wrap,none
42,sens,0.5,0.5,0.5,dummy,wrap,none
43,spec,0.0,0.0,0.0,dummy,wrap,none
44,ppv,0.5161290322580645,0.5120967741935484,0.5120816326530612,dummy,wrap,none
45,npv,,,,dummy,wrap,none
46,f1,0.3404255319148936,0.33866666666666667,0.33864390706495967,dummy,wrap,none
47,bal-acc,0.5,0.5,0.5,dummy,wrap,none
48,acc,0.7016129032258065,0.6411290322580645,0.6655510204081633,gandalf,none,none
49,auroc,0.7865234375,0.7270124292314701,0.7681117948717948,gandalf,none,none
50,sens,0.70078125,0.6419925815058242,0.6669358974358974,gandalf,none,none
51,spec,0.675,0.6776859504132231,0.8003333333333333,gandalf,none,none
52,ppv,0.7045454545454546,0.6637931034482759,0.7008722109533468,gandalf,none,none
53,npv,0.6982758620689655,0.6212121212121212,0.6467948717948718,gandalf,none,none
54,f1,0.7009126466753586,0.640983099920298,0.6363893491195457,gandalf,none,none
55,bal-acc,0.70078125,0.6419925815058242,0.6669358974358974,gandalf,none,none
56,acc,0.5161290322580645,0.5120967741935484,0.536,gandalf,assoc,none
57,auroc,0.6193359375,0.5770807574673,0.641591282051282,gandalf,assoc,none
58,sens,0.5,0.5,0.5350769230769231,gandalf,assoc,none
59,spec,0.0,0.0,0.42400000000000004,gandalf,assoc,none
60,ppv,0.5161290322580645,0.5120967741935484,0.6405297438124186,gandalf,assoc,none
61,npv,,,0.6784168212739642,gandalf,assoc,none
62,f1,0.3404255319148936,0.33866666666666667,0.40070329602381427,gandalf,assoc,none
63,bal-acc,0.5,0.5,0.5350769230769231,gandalf,assoc,none
64,acc,0.5483870967741935,0.592741935483871,0.524,gandalf,pred,none
65,auroc,0.5881510416666667,0.6312227500488059,0.6491153846153848,gandalf,pred,none
66,sens,0.546875,0.5892822281512332,0.5288461538461539,gandalf,pred,none
67,spec,0.5,0.4462809917355372,0.75,gandalf,pred,none
68,ppv,0.5588235294117647,0.58125,0.6051020408163266,gandalf,pred,none
69,npv,0.5357142857142857,0.6136363636363636,0.5174489795918368,gandalf,pred,none
70,f1,0.5464994775339603,0.5824150175883167,0.3923887556406913,gandalf,pred,none
71,bal-acc,0.546875,0.5892822281512332,0.5288461538461539,gandalf,pred,none
72,acc,0.6935483870967742,0.7056451612903226,0.5971428571428572,gandalf,embed_lgbm,lgbm
73,auroc,0.7875000000000001,0.7915663434632654,0.8245784615384617,gandalf,embed_lgbm,lgbm
74,sens,0.6921875,0.7043990368972474,0.6040256410256409,gandalf,embed_lgbm,lgbm
75,spec,0.65,0.6528925619834711,0.9166666666666666,gandalf,embed_lgbm,lgbm
76,ppv,0.6911764705882353,0.6956521739130435,0.7608695652173912,gandalf,embed_lgbm,lgbm
77,npv,0.6964285714285714,0.7181818181818181,0.575729427549195,gandalf,embed_lgbm,lgbm
78,f1,0.6922675026123302,0.7042554929347382,0.5171914431172977,gandalf,embed_lgbm,lgbm
79,bal-acc,0.6921875,0.7043990368972474,0.6040256410256409,gandalf,embed_lgbm,lgbm
80,acc,0.7701612903225806,0.7056451612903226,0.6177959183673469,gandalf,embed_linear,linear
81,auroc,0.9070963541666667,0.8269018025639358,0.7183046153846153,gandalf,embed_linear,linear
82,sens,0.7744791666666666,0.7106461898874211,0.6096666666666666,gandalf,embed_linear,linear
83,spec,0.9083333333333333,0.9173553719008265,0.45133333333333336,gandalf,embed_linear,linear
84,ppv,0.8817204301075269,0.8648648648648649,0.6285132535772929,gandalf,embed_linear,linear
85,npv,0.7032258064516129,0.6379310344827587,0.7606578947368422,gandalf,embed_linear,linear
86,f1,0.7674043603455368,0.6946791466396829,0.5450307495269902,gandalf,embed_linear,linear
87,bal-acc,0.7744791666666666,0.7106461898874211,0.6096666666666666,gandalf,embed_linear,linear
88,acc,0.4838709677419355,0.4879032258064516,0.492,gandalf,wrap,none
89,auroc,0.505859375,0.539272466974686,0.6110333333333333,gandalf,wrap,none
90,sens,0.5,0.5,0.492,gandalf,wrap,none
91,spec,1.0,1.0,0.5439999999999999,gandalf,wrap,none
92,ppv,,,0.48229024943310667,gandalf,wrap,none
93,npv,0.4838709677419355,0.4879032258064516,0.48116004296455417,gandalf,wrap,none
94,f1,0.32608695652173914,0.32791327913279134,0.3507767938914298,gandalf,wrap,none
95,bal-acc,0.5,0.5,0.492,gandalf,wrap,none
96,acc,0.5685483870967742,0.5080645161290323,0.5039183673469388,knn,none,none
97,auroc,0.61474609375,0.538231274809657,0.5507212820512819,knn,none,none
98,sens,0.5671875,0.5073859569206742,0.5012307692307693,knn,none,none
99,spec,0.525,0.4793388429752066,0.33999999999999997,knn,none,none
100,ppv,0.5777777777777777,0.5190839694656488,0.5191646191646192,knn,none,none
101,npv,0.5575221238938053,0.49572649572649574,0.47295482295482305,knn,none,none
102,f1,0.5669642128624814,0.5072633704644649,0.47887848858899174,knn,none,none
103,bal-acc,0.5671875,0.5073859569206742,0.5012307692307693,knn,none,none
104,acc,0.6774193548387096,0.5403225806451613,0.4836734693877551,knn,assoc,none
105,auroc,0.7461588541666666,0.5531658749267911,0.5681948717948718,knn,assoc,none
