,metric,trainset,holdout,5-fold,model,selection,embed_selector
326,f1,1.0,1.0,0.9879855479727017,sgd,embed_linear,linear
327,bal-acc,1.0,1.0,0.9881410256410256,sgd,embed_linear,linear
328,acc,1.0,1.0,1.0,sgd,wrap,none
329,auroc,1.0,1.0,1.0,sgd,wrap,none
330,sens,1.0,1.0,1.0,sgd,wrap,none
331,spec,1.0,1.0,1.0,sgd,wrap,none
332,ppv,1.0,1.0,1.0,sgd,wrap,none
333,npv,1.0,1.0,1.0,sgd,wrap,none
334,f1,1.0,1.0,1.0,sgd,wrap,none
335,bal-acc,1.0,1.0,1.0,sgd,wrap,none
