,metric,trainset,holdout,5-fold,model,selection,embed_selector
123,spec,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
124,ppv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
125,npv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
126,f1,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
127,bal-acc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
128,acc,1.0,1.0,1.0,lgbm,embed_linear,linear
129,auroc,1.0,1.0,1.0,lgbm,embed_linear,linear
130,sens,1.0,1.0,1.0,lgbm,embed_linear,linear
131,spec,1.0,1.0,1.0,lgbm,embed_linear,linear
132,ppv,1.0,1.0,1.0,lgbm,embed_linear,linear
133,npv,1.0,1.0,1.0,lgbm,embed_linear,linear
134,f1,1.0,1.0,1.0,lgbm,embed_linear,linear
135,bal-acc,1.0,1.0,1.0,lgbm,embed_linear,linear
136,acc,1.0,1.0,1.0,lgbm,wrap,none
137,auroc,1.0,1.0,1.0,lgbm,wrap,none
138,sens,1.0,1.0,1.0,lgbm,wrap,none
139,spec,1.0,1.0,1.0,lgbm,wrap,none
140,ppv,1.0,1.0,1.0,lgbm,wrap,none
141,npv,1.0,1.0,1.0,lgbm,wrap,none
142,f1,1.0,1.0,1.0,lgbm,wrap,none
143,bal-acc,1.0,1.0,1.0,lgbm,wrap,none
144,acc,1.0,1.0,0.9974999999999999,lr,none,none
145,auroc,1.0,1.0,1.0,lr,none,none
146,sens,1.0,1.0,0.9974358974358974,lr,none,none
147,spec,1.0,1.0,0.9948717948717949,lr,none,none
148,ppv,1.0,1.0,0.9952380952380953,lr,none,none
149,npv,1.0,1.0,1.0,lr,none,none
150,f1,1.0,1.0,0.9974964794241903,lr,none,none
151,bal-acc,1.0,1.0,0.9974358974358974,lr,none,none
152,acc,1.0,1.0,1.0,lr,assoc,none
153,auroc,1.0,1.0,1.0,lr,assoc,none
154,sens,1.0,1.0,1.0,lr,assoc,none
155,spec,1.0,1.0,1.0,lr,assoc,none
156,ppv,1.0,1.0,1.0,lr,assoc,none
157,npv,1.0,1.0,1.0,lr,assoc,none
158,f1,1.0,1.0,1.0,lr,assoc,none
159,bal-acc,1.0,1.0,1.0,lr,assoc,none
160,acc,1.0,1.0,1.0,lr,pred,none
161,auroc,1.0,1.0,1.0,lr,pred,none
162,sens,1.0,1.0,1.0,lr,pred,none
163,spec,1.0,1.0,1.0,lr,pred,none
164,ppv,1.0,1.0,1.0,lr,pred,none
165,npv,1.0,1.0,1.0,lr,pred,none
166,f1,1.0,1.0,1.0,lr,pred,none
167,bal-acc,1.0,1.0,1.0,lr,pred,none
168,acc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
169,auroc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
170,sens,1.0,1.0,1.0,lr,embed_lgbm,lgbm
171,spec,1.0,1.0,1.0,lr,embed_lgbm,lgbm
172,ppv,1.0,1.0,1.0,lr,embed_lgbm,lgbm
173,npv,1.0,1.0,1.0,lr,embed_lgbm,lgbm
174,f1,1.0,1.0,1.0,lr,embed_lgbm,lgbm
175,bal-acc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
176,acc,1.0,1.0,1.0,lr,embed_linear,linear
177,auroc,1.0,1.0,1.0,lr,embed_linear,linear
178,sens,1.0,1.0,1.0,lr,embed_linear,linear
179,spec,1.0,1.0,1.0,lr,embed_linear,linear
180,ppv,1.0,1.0,1.0,lr,embed_linear,linear
181,npv,1.0,1.0,1.0,lr,embed_linear,linear
182,f1,1.0,1.0,1.0,lr,embed_linear,linear
183,bal-acc,1.0,1.0,1.0,lr,embed_linear,linear
184,acc,1.0,1.0,1.0,lr,wrap,none
185,auroc,1.0,1.0,1.0,lr,wrap,none
186,sens,1.0,1.0,1.0,lr,wrap,none
187,spec,1.0,1.0,1.0,lr,wrap,none
188,ppv,1.0,1.0,1.0,lr,wrap,none
189,npv,1.0,1.0,1.0,lr,wrap,none
190,f1,1.0,1.0,1.0,lr,wrap,none
191,bal-acc,1.0,1.0,1.0,lr,wrap,none
192,acc,1.0,1.0,0.515,rf,none,none
193,auroc,1.0,1.0,0.5,rf,none,none
194,sens,1.0,1.0,0.5,rf,none,none
195,spec,1.0,1.0,0.0,rf,none,none
196,ppv,1.0,1.0,0.515,rf,none,none
197,npv,1.0,1.0,,rf,none,none
198,f1,1.0,1.0,0.33992683918168265,rf,none,none
199,bal-acc,1.0,1.0,0.5,rf,none,none
200,acc,1.0,1.0,1.0,rf,assoc,none
201,auroc,0.9999999999999999,1.0,1.0,rf,assoc,none
202,sens,1.0,1.0,1.0,rf,assoc,none
203,spec,1.0,1.0,1.0,rf,assoc,none
204,ppv,1.0,1.0,1.0,rf,assoc,none
205,npv,1.0,1.0,1.0,rf,assoc,none
206,f1,1.0,1.0,1.0,rf,assoc,none
207,bal-acc,1.0,1.0,1.0,rf,assoc,none
208,acc,1.0,1.0,1.0,rf,pred,none
209,auroc,1.0,1.0,1.0,rf,pred,none
210,sens,1.0,1.0,1.0,rf,pred,none
211,spec,1.0,1.0,1.0,rf,pred,none
212,ppv,1.0,1.0,1.0,rf,pred,none
213,npv,1.0,1.0,1.0,rf,pred,none
214,f1,1.0,1.0,1.0,rf,pred,none
215,bal-acc,1.0,1.0,1.0,rf,pred,none
216,acc,1.0,1.0,1.0,rf,embed_lgbm,lgbm
217,auroc,1.0,1.0,1.0,rf,embed_lgbm,lgbm
218,sens,1.0,1.0,1.0,rf,embed_lgbm,lgbm
219,spec,1.0,1.0,1.0,rf,embed_lgbm,lgbm
220,ppv,1.0,1.0,1.0,rf,embed_lgbm,lgbm
221,npv,1.0,1.0,1.0,rf,embed_lgbm,lgbm
222,f1,1.0,1.0,1.0,rf,embed_lgbm,lgbm
223,bal-acc,1.0,1.0,1.0,rf,embed_lgbm,lgbm
224,acc,1.0,1.0,0.515,rf,embed_linear,linear
225,auroc,1.0,0.9999999999999999,0.5,rf,embed_linear,linear
226,sens,1.0,1.0,0.5,rf,embed_linear,linear
227,spec,1.0,1.0,0.0,rf,embed_linear,linear
228,ppv,1.0,1.0,0.515,rf,embed_linear,linear
229,npv,1.0,1.0,,rf,embed_linear,linear
230,f1,1.0,1.0,0.33992683918168265,rf,embed_linear,linear
231,bal-acc,1.0,1.0,0.5,rf,embed_linear,linear
232,acc,1.0,1.0,1.0,rf,wrap,none
233,auroc,1.0,1.0,1.0,rf,wrap,none
234,sens,1.0,1.0,1.0,rf,wrap,none
235,spec,1.0,1.0,1.0,rf,wrap,none
236,ppv,1.0,1.0,1.0,rf,wrap,none
237,npv,1.0,1.0,1.0,rf,wrap,none
238,f1,1.0,1.0,1.0,rf,wrap,none
239,bal-acc,1.0,1.0,1.0,rf,wrap,none
240,acc,1.0,0.9975,1.0,sgd,none,none
241,auroc,1.0,1.0,1.0,sgd,none,none
242,sens,1.0,0.9974226804123711,1.0,sgd,none,none
243,spec,1.0,0.9948453608247423,1.0,sgd,none,none
244,ppv,1.0,0.9951690821256038,1.0,sgd,none,none
245,npv,1.0,1.0,1.0,sgd,none,none
246,f1,1.0,0.9974973565828906,1.0,sgd,none,none
247,bal-acc,1.0,0.9974226804123711,1.0,sgd,none,none
248,acc,1.0,1.0,1.0,sgd,assoc,none
249,auroc,1.0,1.0,1.0,sgd,assoc,none
250,sens,1.0,1.0,1.0,sgd,assoc,none
251,spec,1.0,1.0,1.0,sgd,assoc,none
252,ppv,1.0,1.0,1.0,sgd,assoc,none
253,npv,1.0,1.0,1.0,sgd,assoc,none
254,f1,1.0,1.0,1.0,sgd,assoc,none
255,bal-acc,1.0,1.0,1.0,sgd,assoc,none
256,acc,0.985,0.985,0.9574999999999999,sgd,pred,none
257,auroc,0.9999110310390462,0.9999499549594635,0.995495069756944,sgd,pred,none
258,sens,0.9845360824742269,0.9845360824742269,0.9562654290510517,sgd,pred,none
259,spec,0.9690721649484536,0.9690721649484536,0.9174089068825912,sgd,pred,none
260,ppv,0.9716981132075472,0.9716981132075472,0.9280343810778593,sgd,pred,none
261,npv,1.0,1.0,0.9947368421052631,sgd,pred,none
262,f1,0.9849695633658158,0.9849695633658158,0.9572730364460458,sgd,pred,none
263,bal-acc,0.9845360824742269,0.9845360824742269,0.9562654290510517,sgd,pred,none
264,acc,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
265,auroc,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
266,sens,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
267,spec,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
268,ppv,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
269,npv,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
270,f1,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
271,bal-acc,1.0,1.0,1.0,sgd,embed_lgbm,lgbm
272,acc,1.0,1.0,1.0,sgd,embed_linear,linear
273,auroc,1.0,1.0,1.0,sgd,embed_linear,linear
274,sens,1.0,1.0,1.0,sgd,embed_linear,linear
275,spec,1.0,1.0,1.0,sgd,embed_linear,linear
276,ppv,1.0,1.0,1.0,sgd,embed_linear,linear
277,npv,1.0,1.0,1.0,sgd,embed_linear,linear
278,f1,1.0,1.0,1.0,sgd,embed_linear,linear
279,bal-acc,1.0,1.0,1.0,sgd,embed_linear,linear
280,acc,1.0,1.0,1.0,sgd,wrap,none
281,auroc,1.0,1.0,1.0,sgd,wrap,none
282,sens,1.0,1.0,1.0,sgd,wrap,none
283,spec,1.0,1.0,1.0,sgd,wrap,none
284,ppv,1.0,1.0,1.0,sgd,wrap,none
285,npv,1.0,1.0,1.0,sgd,wrap,none
286,f1,1.0,1.0,1.0,sgd,wrap,none
287,bal-acc,1.0,1.0,1.0,sgd,wrap,none
